,Sim_Type,Nsubs,Iteration,Station,Mean_Drift,Zone
44,FixBase,20f2s,3,s5,0.0028285714285714303,zone2
45,FixBase,20f4s,3,s5,0.0025142857142857146,zone2
46,FixBase,20f2s,4,s5,0.001714285714285716,zone2
47,FixBase,20f4s,4,s5,0.0015428571428571436,zone2
48,FixBase,20f2s,5,s5,0.0031428571428571456,zone2
49,FixBase,20f4s,5,s5,0.002800000000000001,zone2
50,FixBase,20f2s,1,s6,0.002400000000000001,zone2
51,FixBase,20f4s,1,s6,0.0024285714285714266,zone2
52,FixBase,20f2s,2,s6,0.0020571428571428607,zone2
53,FixBase,20f4s,2,s6,0.002171428571428574,zone2
54,FixBase,20f2s,3,s6,0.0018000000000000002,zone2
55,FixBase,20f4s,3,s6,0.001600000000000002,zone2
56,FixBase,20f2s,4,s6,0.0019142857142857136,zone2
57,FixBase,20f4s,4,s6,0.0017714285714285746,zone2
58,FixBase,20f2s,5,s6,0.0025714285714285735,zone2
59,FixBase,20f4s,5,s6,0.0025142857142857146,zone2
60,FixBase,20f2s,1,s7,0.0016,zone3
61,FixBase,20f4s,1,s7,0.0013428571428571437,zone3
62,FixBase,20f2s,2,s7,0.0015428571428571455,zone3
63,FixBase,20f4s,2,s7,0.0015714285714285728,zone3
64,FixBase,20f2s,3,s7,0.0014000000000000026,zone3
65,FixBase,20f4s,3,s7,0.001942857142857143,zone3
66,FixBase,20f2s,4,s7,0.002400000000000001,zone3
67,FixBase,20f4s,4,s7,0.0020285714285714312,zone3
68,FixBase,20f2s,5,s7,0.0019714285714285723,zone3
69,FixBase,20f4s,5,s7,0.0020285714285714312,zone3
70,FixBase,20f2s,1,s8,0.0016285714285714297,zone3
71,FixBase,20f4s,1,s8,0.001657142857142857,zone3
72,FixBase,20f2s,2,s8,0.001285714285714287,zone3
73,FixBase,20f4s,2,s8,0.0014285714285714297,zone3
74,FixBase,20f2s,3,s8,0.002371428571428572,zone3
75,FixBase,20f4s,3,s8,0.0019714285714285723,zone3
76,FixBase,20f2s,4,s8,0.0019714285714285723,zone3
77,FixBase,20f4s,4,s8,0.001657142857142861,zone3
78,FixBase,20f2s,5,s8,0.0019714285714285723,zone3
79,FixBase,20f4s,5,s8,0.001657142857142857,zone3
80,FixBase,20f2s,1,s9,0.0018285714285714294,zone3
81,FixBase,20f4s,1,s9,0.001942857142857143,zone3
82,FixBase,20f2s,2,s9,0.0007714285714285717,zone3
83,FixBase,20f4s,2,s9,0.0007428571428571423,zone3
84,FixBase,20f2s,3,s9,0.0018000000000000002,zone3
85,FixBase,20f4s,3,s9,0.0014857142857142866,zone3
86,FixBase,20f2s,4,s9,0.001457142857142859,zone3
87,FixBase,20f4s,4,s9,0.0013999999999999985,zone3
88,FixBase,20f2s,5,s9,0.0012285714285714302,zone3
89,FixBase,20f4s,5,s9,0.0014571428571428572,zone3
90,AbsBound,20f2s,1,s1,0.003412054038757906,zone1
91,AbsBound,20f4s,1,s1,0.00647924552214942,zone1
92,AbsBound,20f2s,2,s1,0.0037595988470399224,zone1
93,AbsBound,20f4s,2,s1,0.007334382096014504,zone1
94,AbsBound,20f2s,3,s1,0.0033055808786572618,zone1
95,AbsBound,20f4s,3,s1,0.006707817273031334,zone1
96,AbsBound,20f2s,4,s1,0.0019631697203321584,zone1
97,AbsBound,20f4s,4,s1,0.0035897327390090666,zone1
98,AbsBound,20f2s,5,s1,0.004304018716025116,zone1
99,AbsBound,20f4s,5,s1,0.008553136001470965,zone1
100,AbsBound,20f2s,1,s2,0.001271205379615977,zone1
101,AbsBound,20f4s,1,s2,0.00255959850589749,zone1
102,AbsBound,20f2s,2,s2,0.001360044674247604,zone1
103,AbsBound,20f4s,2,s2,0.0026754467582248945,zone1
104,AbsBound,20f2s,3,s2,0.001997991176055582,zone1
105,AbsBound,20f4s,3,s2,0.0037892867698726142,zone1
106,AbsBound,20f2s,4,s2,0.0010743303766630045,zone1
107,AbsBound,20f4s,4,s2,0.0021279019729504066,zone1
108,AbsBound,20f2s,5,s2,0.001475892897466091,zone1
109,AbsBound,20f4s,5,s2,0.002974107416368514,zone1
110,AbsBound,20f2s,1,s3,0.0019725447566306537,zone1
111,AbsBound,20f4s,1,s3,0.004387724604449967,zone1
112,AbsBound,20f2s,2,s3,0.0014712053872895138,zone1
113,AbsBound,20f4s,2,s3,0.003185045065159892,zone1
114,AbsBound,20f2s,3,s3,0.0011314732359554796,zone1
115,AbsBound,20f4s,3,s3,0.0021595984211830333,zone1
116,AbsBound,20f2s,4,s3,0.0011808035843962012,zone1
117,AbsBound,20f4s,4,s3,0.0023772323343092907,zone1
118,AbsBound,20f2s,5,s3,0.0017537946762889946,zone1
119,AbsBound,20f4s,5,s3,0.0036515631778216485,zone1
120,AbsBound,20f2s,1,s4,0.001239508945227408,zone2
121,AbsBound,20f4s,1,s4,0.002988170041324423,zone2
122,AbsBound,20f2s,2,s4,0.0017694197247720503,zone2
123,AbsBound,20f4s,2,s4,0.0031897326127731406,zone2
124,AbsBound,20f2s,3,s4,0.0011854910909576601,zone2
125,AbsBound,20f4s,3,s4,0.0022453127238300026,zone2
126,AbsBound,20f2s,4,s4,0.001996428669823844,zone2
127,AbsBound,20f4s,4,s4,0.004797100087081981,zone2
128,AbsBound,20f2s,5,s4,0.0014473214673388548,zone2
129,AbsBound,20f4s,5,s4,0.002764286089438741,zone2
130,AbsBound,20f2s,1,s5,0.0008109375070956577,zone2
131,AbsBound,20f4s,1,s5,0.0017694197247720503,zone2
132,AbsBound,20f2s,2,s5,0.0007205357175021644,zone2
133,AbsBound,20f4s,2,s5,0.001483705414570249,zone2
134,AbsBound,20f2s,3,s5,0.0011886160953603038,zone2
135,AbsBound,20f4s,3,s5,0.0023881698963870808,zone2
136,AbsBound,20f2s,4,s5,0.0007823660780298184,zone2
137,AbsBound,20f4s,4,s5,0.001423437546706612,zone2
138,AbsBound,20f2s,5,s5,0.0014727678906746604,zone2
139,AbsBound,20f4s,5,s5,0.002639062768029941,zone2
140,AbsBound,20f2s,1,s6,0.0011013393043980107,zone2
141,AbsBound,20f4s,1,s6,0.0022930805431485507,zone2
142,AbsBound,20f2s,2,s6,0.000988616087934972,zone2
