,Sim_Type,Nsubs,Iteration,Station,Mean_Drift,Zone
145,AbsBound,20f4s,3,s6,0.0014685065178225503,zone2
146,AbsBound,20f2s,4,s6,0.0010090909182644365,zone2
147,AbsBound,20f4s,4,s6,0.0016068181993470572,zone2
148,AbsBound,20f2s,5,s6,0.0011782467626573303,zone2
149,AbsBound,20f4s,5,s6,0.0026616883438358575,zone2
150,AbsBound,20f2s,1,s7,0.0013850649609675472,zone3
151,AbsBound,20f4s,1,s7,0.0032490261885884256,zone3
152,AbsBound,20f2s,2,s7,0.0008685065019658966,zone3
153,AbsBound,20f4s,2,s7,0.0015542208064701056,zone3
154,AbsBound,20f2s,3,s7,0.0006925324707700717,zone3
155,AbsBound,20f4s,3,s7,0.0012353896207378972,zone3
156,AbsBound,20f2s,4,s7,0.0011827922235372046,zone3
157,AbsBound,20f4s,4,s7,0.001892532491864709,zone3
158,AbsBound,20f2s,5,s7,0.0010685065063422109,zone3
159,AbsBound,20f4s,5,s7,0.0023542208418979626,zone3
160,AbsBound,20f2s,1,s8,0.0006970779275096189,zone3
161,AbsBound,20f4s,1,s8,0.0018399351031674264,zone3
162,AbsBound,20f2s,2,s8,0.0010376623473650906,zone3
163,AbsBound,20f4s,2,s8,0.0019016234336720473,zone3
164,AbsBound,20f2s,3,s8,0.001273051973512964,zone3
165,AbsBound,20f4s,3,s8,0.0023301948909886703,zone3
166,AbsBound,20f2s,4,s8,0.0011564935245168204,zone3
167,AbsBound,20f4s,4,s8,0.002618181941950359,zone3
168,AbsBound,20f2s,5,s8,0.0013016234032475996,zone3
169,AbsBound,20f4s,5,s8,0.002730194923089708,zone3
170,AbsBound,20f2s,1,s9,0.0011805194930911698,zone3
171,AbsBound,20f4s,1,s9,0.0021542208316772675,zone3
172,AbsBound,20f2s,2,s9,0.0006639610419358387,zone3
173,AbsBound,20f4s,2,s9,0.001602272733099274,zone3
174,AbsBound,20f2s,3,s9,0.0006045454561942946,zone3
175,AbsBound,20f4s,3,s9,0.0013519480684521996,zone3
176,AbsBound,20f2s,4,s9,0.0008662337729834517,zone3
177,AbsBound,20f4s,4,s9,0.0019256493925386175,zone3
178,AbsBound,20f2s,5,s9,0.0009542207894443619,zone3
179,AbsBound,20f4s,5,s9,0.0017827922436797123,zone3
180,DRM,20f2s,1,s1,0.011521643614677026,zone1
181,DRM,20f4s,1,s1,0.008522050385894278,zone1
182,DRM,20f2s,2,s1,0.01680720114204765,zone1
183,DRM,20f4s,2,s1,0.00955454128529085,zone1
184,DRM,20f2s,3,s1,0.024248479637730604,zone1
185,DRM,20f4s,3,s1,0.019531679429854412,zone1
186,DRM,20f2s,4,s1,0.009116034842465898,zone1
187,DRM,20f4s,4,s1,0.004305518240026835,zone1
188,DRM,20f2s,5,s1,0.019552713472140888,zone1
189,DRM,20f4s,5,s1,0.013434761805957592,zone1
190,DRM,20f2s,1,s2,0.006425364135404874,zone1
191,DRM,20f4s,1,s2,0.004356170146505696,zone1
192,DRM,20f2s,2,s2,0.0070532989330027605,zone1
193,DRM,20f4s,2,s2,0.00448896167557785,zone1
194,DRM,20f2s,3,s2,0.0054360647689330075,zone1
195,DRM,20f4s,3,s2,0.004162988327302011,zone1
196,DRM,20f2s,4,s2,0.0060945081121684,zone1
197,DRM,20f4s,4,s2,0.002731493421356278,zone1
198,DRM,20f2s,5,s2,0.00812540409218021,zone1
199,DRM,20f4s,5,s2,0.0050126619366492806,zone1
200,DRM,20f2s,1,s3,0.011519690255638254,zone1
201,DRM,20f4s,1,s3,0.004625328142518858,zone1
202,DRM,20f2s,2,s3,0.010022849906851834,zone1
203,DRM,20f4s,2,s3,0.0027211039464618237,zone1
204,DRM,20f2s,3,s3,0.007041913198198404,zone1
205,DRM,20f4s,3,s3,0.0031152600242742804,zone1
206,DRM,20f2s,4,s3,0.00977612632024734,zone1
207,DRM,20f4s,4,s3,0.004669804846692501,zone1
208,DRM,20f2s,5,s3,0.011205018985637052,zone1
209,DRM,20f4s,5,s3,0.0051172100730213985,zone1
