,Sim_Type,Nsubs,Iteration,Station,Zone,s1,s2,s3,s4,s5,s6,s7,s9,9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
10,FixBase,20f2s,1,s3,zone1,0.0016571428571428572,0.001742857142857143,0.0018000000000000006,0.0020571428571428576,0.0024285714285714297,0.002800000000000001,0.0031428571428571434,0.0034285714285714275,0.003657142857142859,0.003828571428571431,0.003999999999999999,0.0041714285714285725,0.00425714285714286,0.004314285714285715,0.0044571428571428574,0.004485714285714292,0.004485714285714292,0.004514285714285717,0.004428571428571432,0.004314285714285715
11,FixBase,20f2s,2,s3,zone1,0.0009714285714285714,0.0010285714285714286,0.0011428571428571425,0.0013142857142857147,0.0016285714285714287,0.0017714285714285716,0.0018857142857142864,0.001942857142857143,0.0019714285714285723,0.0020000000000000018,0.0021999999999999997,0.002428571428571429,0.0026285714285714285,0.002771428571428573,0.0029428571428571438,0.003028571428571428,0.0030571428571428572,0.003085714285714287,0.003028571428571428,0.0029428571428571477
12,FixBase,20f2s,3,s3,zone1,0.0008285714285714285,0.0008571428571428572,0.0008857142857142858,0.0010285714285714288,0.0012571428571428573,0.0014285714285714288,0.0016285714285714287,0.0017714285714285716,0.0019142857142857156,0.0020571428571428568,0.002142857142857143,0.002285714285714286,0.002342857142857145,0.002371428571428572,0.0024285714285714305,0.0024571428571428604,0.0024571428571428604,0.0024857142857142894,0.002457142857142856,0.002371428571428576
13,FixBase,20f2s,4,s3,zone1,0.0009142857142857143,0.0009142857142857143,0.0009142857142857144,0.0010285714285714288,0.0012571428571428573,0.0013428571428571437,0.001371428571428571,0.0013428571428571426,0.001371428571428572,0.0014857142857142857,0.0015714285714285728,0.0016857142857142863,0.0018000000000000002,0.0019142857142857156,0.0020571428571428585,0.0021142857142857152,0.002171428571428572,0.0022000000000000014,0.002171428571428574,0.0020857142857142862
14,FixBase,20f2s,5,s3,zone1,0.0014,0.0013428571428571428,0.0012285714285714287,0.0013428571428571433,0.0016,0.0017142857142857148,0.001742857142857144,0.0017714285714285707,0.0017714285714285727,0.0018285714285714294,0.001942857142857144,0.002257142857142858,0.0025714285714285717,0.0028285714285714303,0.003085714285714287,0.0032285714285714296,0.0032857142857142846,0.003371428571428573,0.0032857142857142885,0.0031428571428571456
15,FixBase,20f2s,1,s4,zone2,0.0010285714285714286,0.001,0.0010571428571428572,0.0011714285714285717,0.0014000000000000004,0.001514285714285715,0.001571428571428572,0.001657142857142858,0.001714285714285716,0.0017714285714285727,0.0018285714285714294,0.0019142857142857156,0.0019142857142857156,0.0019714285714285723,0.002142857142857144,0.002228571428571429,0.002285714285714286,0.0023428571428571426,0.002314285714285717,0.002228571428571429
16,FixBase,20f2s,2,s4,zone2,0.0015714285714285713,0.0016285714285714289,0.0016571428571428575,0.0018857142857142864,0.0022857142857142868,0.0024857142857142864,0.0026285714285714285,0.0026857142857142874,0.0027142857142857164,0.002800000000000001,0.003000000000000001,0.003171428571428575,0.0032857142857142885,0.0034000000000000024,0.0035714285714285744,0.0036285714285714294,0.0036285714285714333,0.0036857142857142844,0.0036000000000000042,0.0034857142857142903
17,FixBase,20f2s,3,s4,zone2,0.0010571428571428572,0.0011142857142857144,0.0011714285714285717,0.0013428571428571433,0.0016,0.0017428571428571432,0.0018285714285714283,0.0018571428571428586,0.0019142857142857156,0.001942857142857143,0.0019714285714285723,0.0020571428571428585,0.002171428571428572,0.002257142857142858,0.002371428571428572,0.002400000000000001,0.002400000000000001,0.0024285714285714305,0.002371428571428572,0.002285714285714288
18,FixBase,20f2s,4,s4,zone2,0.0017714285714285716,0.0018000000000000002,0.0018000000000000006,0.0019714285714285715,0.002314285714285714,0.0024857142857142873,0.002600000000000001,0.0026285714285714285,0.0027714285714285714,0.0029428571428571438,0.003171428571428573,0.003457142857142857,0.003657142857142859,0.0038571428571428606,0.004114285714285717,0.0042285714285714305,0.00428571428571429,0.004371428571428574,0.00428571428571429,0.004142857142857147
19,FixBase,20f2s,5,s4,zone2,0.0010285714285714286,0.0010285714285714288,0.0010857142857142858,0.0012571428571428573,0.0015714285714285713,0.0017428571428571432,0.0018857142857142864,0.0019714285714285723,0.0020571428571428585,0.002228571428571429,0.002400000000000001,0.002600000000000001,0.002742857142857146,0.0028285714285714303,0.0029428571428571438,0.0030000000000000027,0.0030000000000000027,0.0030571428571428572,0.0030000000000000027,0.0029142857142857186
