,Sim_Type,Nsubs,Iteration,Station,BShear_X,BShear_Y,Zone
131,AbsBound,20f2s,2,s9,10.303980620917475,23.118329617222468,zone3
132,AbsBound,20f2s,3,s9,6.911228302143736,7.689344725788756,zone3
133,AbsBound,20f2s,4,s9,21.29168100043127,9.464626599918745,zone3
134,AbsBound,20f2s,5,s9,30.120146950747454,25.053304011030008,zone3
135,AbsBound,20f4s,1,s1,95.82489497997756,223.03361672667762,zone1
136,AbsBound,20f4s,2,s1,513.6423316522913,335.4472800041661,zone1
137,AbsBound,20f4s,3,s1,399.86876216050877,125.66530061754736,zone1
138,AbsBound,20f4s,4,s1,203.1408006960825,216.9334494719437,zone1
139,AbsBound,20f4s,5,s1,214.8072461264251,34.05727030955987,zone1
140,AbsBound,20f4s,1,s2,180.1933866650925,167.8983533587688,zone1
141,AbsBound,20f4s,2,s2,93.86315212939876,100.09700391076866,zone1
142,AbsBound,20f4s,3,s2,104.5983860568751,48.70853439015364,zone1
143,AbsBound,20f4s,4,s2,30.811472260361306,7.367685679226284,zone1
144,AbsBound,20f4s,5,s2,109.19854771466247,64.33125211735506,zone1
145,AbsBound,20f4s,1,s3,275.24540838635636,242.4875677086075,zone1
146,AbsBound,20f4s,2,s3,60.73994968485767,6.856707116673786,zone1
147,AbsBound,20f4s,3,s3,115.27132958904747,104.81200452197253,zone1
148,AbsBound,20f4s,4,s3,25.392634540773695,33.66775051719762,zone1
149,AbsBound,20f4s,5,s3,21.647696763502537,70.20534241893,zone1
150,AbsBound,20f4s,1,s4,172.630167466185,130.663884453915,zone2
151,AbsBound,20f4s,2,s4,231.4496721969337,29.39991307719366,zone2
152,AbsBound,20f4s,3,s4,81.83719730273981,8.488778928146269,zone2
153,AbsBound,20f4s,4,s4,50.4170937699787,159.23174397341995,zone2
154,AbsBound,20f4s,5,s4,46.92272444979762,5.423392786237397,zone2
155,AbsBound,20f4s,1,s5,6.92027489139749,13.072558882068785,zone2
156,AbsBound,20f4s,2,s5,6.358147210830122,27.762149299901154,zone2
157,AbsBound,20f4s,3,s5,16.726697537478742,1.1242250738549846,zone2
158,AbsBound,20f4s,4,s5,25.37925430475625,46.14532460714997,zone2
159,AbsBound,20f4s,5,s5,28.275338940108707,29.569824103256277,zone2
160,AbsBound,20f4s,1,s6,9.598248665126244,5.395297191288755,zone2
161,AbsBound,20f4s,2,s6,26.65609115525627,21.780192178657437,zone2
162,AbsBound,20f4s,3,s6,123.73159009597128,5.894476691058756,zone2
163,AbsBound,20f4s,4,s6,50.66838096651375,68.97011632009125,zone2
164,AbsBound,20f4s,5,s6,74.00376273700124,106.05521866574988,zone2
165,AbsBound,20f4s,1,s7,22.477862851541257,5.448949925984914,zone3
166,AbsBound,20f4s,2,s7,1.2234776555062272,13.858944577008762,zone3
