,Sim_Type,Nsubs,Iteration,Station,Zone,s1,s5,s10,s15,s20
41,FixBase,20f2s,2,s9,zone3,1.1861176076535787,0.5148173479365055,0.48961467376701373,0.37704134517767574,0.19242163365972428
42,FixBase,20f2s,3,s9,zone3,0.7963314345061824,0.4167107974996838,0.2820476207451261,0.5001053417582635,0.47577592352927833
43,FixBase,20f2s,4,s9,zone3,0.5995379789508253,0.23019781616925883,0.3276348960980802,0.43005657686222226,0.65921489245862
44,FixBase,20f2s,5,s9,zone3,0.8876248386569894,0.7159142451667299,1.6957399597367089,0.5628453643967237,0.4925317080248297
45,FixBase,20f4s,1,s1,zone1,4.409776492564336,1.7345192549663562,1.6531564268647243,3.3982472396969245,1.8318513240328977
46,FixBase,20f4s,2,s1,zone1,4.179108693155391,2.2588917370525343,1.3465877328182503,1.6720253565184335,1.7736128039105707
47,FixBase,20f4s,3,s1,zone1,3.7340500232635208,2.2998779881173053,1.3096430052325232,2.0699719028674437,3.3914092246366594
48,FixBase,20f4s,4,s1,zone1,4.078007092974925,1.2513387649935268,1.6213670483494766,1.8064489633118381,1.8042444008579461
49,FixBase,20f4s,5,s1,zone1,11.50508882402488,6.411295828250123,3.826494535562296,3.5203760094758065,5.952655925157783
50,FixBase,20f4s,1,s2,zone1,1.887859271519275,0.8985311003277163,2.2944665769133876,1.6605623912655751,0.47289820130973187
51,FixBase,20f4s,2,s2,zone1,1.7805380119409606,0.9093768166666962,1.107704749150151,0.9746082732616838,1.0246155247144628
52,FixBase,20f4s,3,s2,zone1,0.5317732392727252,1.5763228444023432,1.30833248890161,0.8933432017038404,0.8888896617352186
53,FixBase,20f4s,4,s2,zone1,1.150852481595308,1.2851368626042134,1.2390879795527172,0.8104339302105387,0.7211933112528567
54,FixBase,20f4s,5,s2,zone1,3.0285370603265984,1.8866146423267391,2.2716259491464355,1.161545466881939,1.1639481148306967
55,FixBase,20f4s,1,s3,zone1,1.372129948016965,1.2946886310116206,1.9014094441554221,0.7074625788565124,0.8919757660327201
56,FixBase,20f4s,2,s3,zone1,1.124929439778328,1.0853174217130241,1.3132767618506394,0.7564127368542807,1.9556005521507789
57,FixBase,20f4s,3,s3,zone1,1.2190625967645152,1.218930256753121,0.9536399981119337,1.289383921812147,1.222079981277063
58,FixBase,20f4s,4,s3,zone1,2.4417674226133497,1.2884417728939277,1.2332370432929203,1.7541371734581497,1.6549889863463454
