,Sim_Type,Nsubs,Iteration,Station,Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
31,FixBase,20f2s,2,s7,zone3,0.0005142857142857143,0.0006285714285714286,0.0006857142857142858,0.0007714285714285717,0.0009142857142857142,0.0010285714285714288,0.0011428571428571427,0.0012285714285714291,0.0013142857142857142,0.001371428571428571,0.0014571428571428572,0.0015428571428571436,0.0016285714285714297,0.0016857142857142863,0.0017428571428571432,0.0017714285714285727,0.0018000000000000021,0.0017714285714285746,0.0017714285714285746,0.0017714285714285746
32,FixBase,20f2s,3,s7,zone3,0.00039999999999999996,0.0004857142857142857,0.0004857142857142859,0.0005428571428571431,0.0006285714285714287,0.000685714285714286,0.0007428571428571433,0.0008285714285714285,0.0008571428571428579,0.0009142857142857147,0.0010000000000000009,0.0010571428571428576,0.0011142857142857144,0.0011714285714285722,0.0012571428571428573,0.0013142857142857142,0.001371428571428572,0.001371428571428572,0.0014000000000000004,0.0014000000000000004
33,FixBase,20f2s,4,s7,zone3,0.0007714285714285715,0.000942857142857143,0.0010285714285714288,0.0011428571428571427,0.0012857142857142865,0.0014285714285714288,0.0015428571428571436,0.0016285714285714297,0.0016857142857142863,0.001714285714285716,0.0017428571428571432,0.0018571428571428578,0.0020000000000000018,0.002142857142857143,0.002257142857142858,0.0023142857142857153,0.002371428571428572,0.002371428571428572,0.002400000000000001,0.002371428571428572
34,FixBase,20f2s,5,s7,zone3,0.0006285714285714286,0.0007714285714285716,0.0008571428571428574,0.0009714285714285714,0.0011142857142857144,0.0012285714285714291,0.0014000000000000004,0.001571428571428572,0.0017428571428571421,0.0018857142857142864,0.002028571428571429,0.0021142857142857152,0.0021142857142857152,0.002114285714285713,0.002085714285714288,0.0021714285714285702,0.002228571428571429,0.002257142857142858,0.002257142857142858,0.002257142857142858
35,FixBase,20f2s,1,s8,zone3,0.0005142857142857143,0.0005714285714285716,0.0006285714285714286,0.0007428571428571431,0.0008857142857142858,0.0010285714285714288,0.0011428571428571427,0.0012571428571428573,0.0013428571428571437,0.0014285714285714277,0.001514285714285714,0.0015714285714285708,0.0016,0.0016285714285714297,0.001657142857142857,0.001657142857142859,0.001657142857142857,0.001657142857142857,0.001657142857142861,0.001657142857142861
36,FixBase,20f2s,2,s8,zone3,0.0006285714285714285,0.000742857142857143,0.0008,0.0008571428571428574,0.0009714285714285714,0.0010857142857142862,0.0012285714285714291,0.0013428571428571437,0.0014285714285714288,0.0014857142857142866,0.0015714285714285708,0.0015714285714285728,0.0016000000000000012,0.0017714285714285727,0.0019142857142857156,0.002028571428571429,0.0021142857142857152,0.002171428571428572,0.0022000000000000014,0.002171428571428574
37,FixBase,20f2s,3,s8,zone3,0.0006571428571428571,0.0007999999999999999,0.0008571428571428574,0.0009999999999999998,0.0011428571428571427,0.001371428571428572,0.001571428571428572,0.0017714285714285716,0.001942857142857144,0.0020571428571428568,0.0021999999999999997,0.0023142857142857153,0.002371428571428574,0.0024857142857142855,0.0026000000000000034,0.0026857142857142874,0.002742857142857142,0.0027714285714285714,0.0027714285714285714,0.002742857142857142
38,FixBase,20f2s,4,s8,zone3,0.0008,0.0009428571428571427,0.001,0.0011142857142857144,0.0012571428571428573,0.0014285714285714288,0.0016,0.0017714285714285727,0.0018857142857142864,0.0019714285714285723,0.0020857142857142862,0.0022000000000000014,0.002285714285714286,0.002342857142857145,0.002400000000000001,0.0024857142857142855,0.0025428571428571444,0.0025428571428571444,0.0025714285714285735,0.0025428571428571444
39,FixBase,20f2s,5,s8,zone3,0.0007714285714285715,0.0008857142857142858,0.0009142857142857144,0.0010285714285714288,0.0012000000000000003,0.0013428571428571437,0.001514285714285715,0.0016857142857142863,0.0018857142857142864,0.0020857142857142862,0.002285714285714286,0.0024571428571428583,0.0026285714285714306,0.002742857142857146,0.0028285714285714303,0.0028857142857142853,0.0029142857142857143,0.0029428571428571438,0.002971428571428573,0.0029428571428571438
40,FixBase,20f2s,1,s9,zone3,0.0005714285714285714,0.0007142857142857142,0.0007714285714285715,0.0008857142857142858,0.0009999999999999998,0.0010857142857142862,0.0011428571428571427,0.0011714285714285722,0.0013428571428571433,0.0016,0.0018571428571428578,0.0020571428571428576,0.00222857142857143,0.0023428571428571426,0.002428571428571429,0.0024857142857142855,0.0024857142857142873,0.0025142857142857146,0.0025142857142857146,0.0024857142857142894
