,Sim_Type,Nsubs,Station,s1,s5,s10,s15,s20
41,FixBase,20f2s,s6,1.1527101547192617,1.5047267606370194,2.1619305291369084,0.9093707509619738,2.3046135271586725
42,FixBase,20f2s,s7,0.8631848763387758,0.9801303849318955,1.017099401999073,0.9215352107711954,1.5410963826761026
43,FixBase,20f2s,s8,1.2065449215645265,0.922688601378457,1.5628229998184084,1.0833672454677716,2.1687847909747804
44,FixBase,20f2s,s9,0.8406076408156913,0.9188135272720978,1.0442272612226824,0.6379309935653324,1.3140777372087822
45,FixBase,20f4s,s1,3.017912020956301,3.7301503205220206,2.9335058342312434,2.3482529396985625,3.8459499609233583
46,FixBase,20f4s,s2,1.6787916254961126,1.5468557902700188,2.060249975942959,1.2461397110504653,2.463184601048445
47,FixBase,20f4s,s3,2.189195850361263,2.378647728326333,2.2215652262241092,1.3295531093083466,2.722610449713149
48,FixBase,20f4s,s4,1.6280271676501372,2.0364064368807107,1.7233060898787862,1.3976716592406944,2.609722750818734
49,FixBase,20f4s,s5,0.8892493248188096,1.065041118683279,1.616463023332642,0.9807778972088285,1.9327126975439062
50,FixBase,20f4s,s6,1.000203343425914,1.143713811455155,1.8175331170066578,0.8116425043785576,1.8061829657887642
51,FixBase,20f4s,s7,0.7124140756293036,0.82276045073828,0.8764595672613277,0.9129413282327892,1.3866677912909076
52,FixBase,20f4s,s8,1.2442514180925226,0.8159887992517127,1.2867776743072374,1.0593426782034798,1.8928289266120282
53,FixBase,20f4s,s9,0.7802415590488749,0.8729714050468476,0.8846944498663655,0.605927799661334,1.1323726706161803
