,Sim_Type,Nsubs,Station,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
10,AbsBound,20f4s,s2,0.0014670090200848503,0.001433973305448517,0.0014069643790981608,0.0015513840486583662,0.0018034376670110822,0.0019472323464855153,0.002056741307452773,0.0021307145430709065,0.002210312789427243,0.0022813842465996157,0.002389018197432236,0.0025429914494849238,0.0026283932573053547,0.002674107555354135,0.002750982556446519,0.0027801789949112453,0.0027795539811541004,0.0028189289840055824,0.002773214683070716,0.0026878128766013127
11,AbsBound,20f4s,s3,0.001502500082087597,0.0014240625822037572,0.0013759822338799013,0.0015194644001337008,0.0017607144437773703,0.0018724109132975271,0.001967277026741091,0.0020792859941358667,0.0021776788859178527,0.0023116075043109695,0.002456027188724348,0.0026503129588671737,0.0027925451323868498,0.0029014290932588846,0.003037321973443968,0.00309571484990536,0.0031125452130356633,0.0031519202145722956,0.0030957148482492346,0.003003973738845519
12,AbsBound,20f4s,s4,0.0016240625644954494,0.0015275447032833292,0.0014670982848694254,0.0016143304599341504,0.001871160855492633,0.001988259106184935,0.0020973663045037,0.0021947324324134683,0.0023064289200148596,0.00242736646466953,0.0025651343731898156,0.0027308487208718792,0.0028556255486631753,0.002958170226180919,0.003102054179216816,0.003142991707770938,0.003159197056365211,0.0031969203108896576,0.0031337506409734516,0.0030448220530896355
13,AbsBound,20f4s,s5,0.0010050446652816543,0.0009754464553440769,0.0009522768106648841,0.0010491071729674289,0.0012001786151109694,0.0013030357667826798,0.0013668304177989871,0.0014071429225902075,0.0014414286402061095,0.0014772768627637402,0.0015575893733144363,0.0016496429585007217,0.0017233036815876457,0.0017861608326949698,0.001855044771797974,0.0018956697810133,0.001918214425608565,0.0019407590700931867,0.0019013840681846466,0.0018496429869664563
14,AbsBound,20f4s,s6,0.0010287500310822597,0.0010065178876700529,0.0009893750295071981,0.0010973214646884991,0.001277589339990653,0.0013915625637752004,0.0014833036443447595,0.001546473295214385,0.0016213840192714393,0.0016896429548341706,0.0017636161769277424,0.0018350001241720024,0.0018689733429779524,0.001900759050504101,0.0019413840591722264,0.0019626786965409914,0.0019566519089612724,0.0019795090549274198,0.0019398215509426717,0.0018934822569502887
15,AbsBound,20f4s,s7,0.0008631250173459753,0.0008415178745671024,0.0008243750167537481,0.0009164285924167145,0.0010653125288412233,0.0011450000330500032,0.0012148214679527992,0.0012659375425847863,0.0013141518365080694,0.0013662054137718266,0.0014338393466667497,0.0015084375685872928,0.0015608036466775285,0.0016011161518000288,0.0016522322274734997,0.001663348299380742,0.0016582590150860238,0.0016693750865024286,0.0016354018697709066,0.0015900000803867943
16,AbsBound,20f4s,s8,0.000806696440402579,0.0007739732262686853,0.0007580803692027173,0.0008225000154068769,0.0009479018065816939,0.001023125025219875,0.0010900446757901965,0.001159553609832241,0.0012109821849173887,0.0012579464759414852,0.0013103125526064217,0.0013845982728196574,0.0014278125571882592,0.0014786161315666641,0.001530357208025545,0.0015363839945912812,0.0015478125669432326,0.0015643304242840502,0.0015303572078023274,0.0014960714905622218
17,AbsBound,20f4s,s9,0.0006412946508442668,0.0006311160796555064,0.0006203125081630288,0.0006945982246633037,0.0008139732280403542,0.0008720535880523052,0.0009282589464958844,0.0009622321621472245,0.0010025446643562041,0.001039017883321899,0.0010904464577417363,0.00114727681769404,0.0011929911067263192,0.0012345536111689139,0.0012859821866590712,0.0013088393311260736,0.001314241116472776,0.0013367857605582284,0.001313928615525134,0.0012739286133573188
18,DRM,20f2s,s1,0.00911219719904923,0.004624475182470673,0.004168267853694893,0.004223581388969899,0.0046959946959892074,0.0049848343594644405,0.005211844393329601,0.0053626040620457106,0.005484881298988801,0.005570283551645671,0.005635684111922677,0.005818051551891618,0.005977025765951315,0.006126937301976438,0.006427608717511882,0.006594975649129804,0.0066686368359093265,0.006771494666414838,0.006668949341921318,0.006463233778596408
19,DRM,20f2s,s2,0.005455691935194607,0.003086836295681382,0.0034559008178334538,0.0033463912864899843,0.003511793953895831,0.0036342946651088033,0.003759607641974015,0.0038431349185890362,0.003914608556922277,0.003971126792943592,0.004030636416273022,0.004119565569512304,0.004184923206162838,0.004246218257488966,0.004337334961254045,0.004349701143065687,0.004337022456036624,0.004367469128756066,0.004321442010243674,0.004258271913550779
