,Sim_Type,Nsubs,Iteration,Station,Mean_Drift_X,Mean_Drift_Y,Zone
24,FixBase,20f2s,5,s5,0.0023171428571428588,0.0021471428571428583,zone2
25,FixBase,20f2s,1,s6,0.0018328571428571435,0.0018671428571428576,zone2
26,FixBase,20f2s,2,s6,0.0016485714285714294,0.0017114285714285716,zone2
27,FixBase,20f2s,3,s6,0.001334285714285715,0.0011442857142857147,zone2
28,FixBase,20f2s,4,s6,0.0014514285714285718,0.0013500000000000003,zone2
29,FixBase,20f2s,5,s6,0.0019242857142857147,0.0017157142857142863,zone2
30,FixBase,20f2s,1,s7,0.0012257142857142864,0.0020657142857142866,zone3
31,FixBase,20f2s,2,s7,0.0011842857142857148,0.001327142857142858,zone3
32,FixBase,20f2s,3,s7,0.0011128571428571435,0.0009514285714285718,zone3
33,FixBase,20f2s,4,s7,0.0017757142857142863,0.001750000000000001,zone3
34,FixBase,20f2s,5,s7,0.0015528571428571436,0.0016900000000000005,zone3
35,FixBase,20f2s,1,s8,0.0011571428571428579,0.0012900000000000006,zone3
36,FixBase,20f2s,2,s8,0.0009700000000000002,0.001484285714285715,zone3
37,FixBase,20f2s,3,s8,0.001787142857142858,0.0019428571428571433,zone3
38,FixBase,20f2s,4,s8,0.0015885714285714288,0.0018885714285714293,zone3
39,FixBase,20f2s,5,s8,0.001514285714285715,0.0020457142857142866,zone3
40,FixBase,20f2s,1,s9,0.0013714285714285718,0.001684285714285715,zone3
41,FixBase,20f2s,2,s9,0.0005985714285714288,0.000955714285714286,zone3
42,FixBase,20f2s,3,s9,0.0013671428571428578,0.0009028571428571431,zone3
43,FixBase,20f2s,4,s9,0.0011428571428571432,0.0013742857142857148,zone3
44,FixBase,20f2s,5,s9,0.0009842857142857149,0.001574285714285715,zone3
45,FixBase,20f4s,1,s1,0.0054385714285714315,0.006895714285714288,zone1
46,FixBase,20f4s,2,s1,0.006154285714285718,0.006802857142857145,zone1
47,FixBase,20f4s,3,s1,0.005588571428571431,0.019111428571428578,zone1
48,FixBase,20f4s,4,s1,0.003082857142857145,0.002997142857142858,zone1
49,FixBase,20f4s,5,s1,0.006767142857142859,0.012010000000000003,zone1
50,FixBase,20f4s,1,s2,0.001887142857142858,0.002917142857142858,zone1
51,FixBase,20f4s,2,s2,0.002285714285714287,0.003517142857142859,zone1
52,FixBase,20f4s,3,s2,0.0032185714285714304,0.0032971428571428587,zone1
53,FixBase,20f4s,4,s2,0.001795714285714287,0.0020328571428571427,zone1
54,FixBase,20f4s,5,s2,0.0024614285714285723,0.0036728571428571444,zone1
55,FixBase,20f4s,1,s3,0.003787142857142859,0.0033700000000000015,zone1
56,FixBase,20f4s,2,s3,0.00235,0.0020885714285714292,zone1
57,FixBase,20f4s,3,s3,0.0018228571428571434,0.0021542857142857145,zone1
58,FixBase,20f4s,4,s3,0.001894285714285715,0.002790000000000001,zone1
59,FixBase,20f4s,5,s3,0.002538571428571429,0.004177142857142858,zone1
60,FixBase,20f4s,1,s4,0.002197142857142858,0.003390000000000002,zone2
61,FixBase,20f4s,2,s4,0.002641428571428573,0.002921428571428573,zone2
62,FixBase,20f4s,3,s4,0.0019842857142857153,0.00230857142857143,zone2
63,FixBase,20f4s,4,s4,0.0037485714285714297,0.004164285714285717,zone2
64,FixBase,20f4s,5,s4,0.002325714285714287,0.00344857142857143,zone2
65,FixBase,20f4s,1,s5,0.0014628571428571436,0.0016257142857142865,zone2
66,FixBase,20f4s,2,s5,0.001278571428571429,0.0018828571428571431,zone2
67,FixBase,20f4s,3,s5,0.0019314285714285718,0.0019585714285714293,zone2
68,FixBase,20f4s,4,s5,0.0012428571428571436,0.0013700000000000003,zone2
69,FixBase,20f4s,5,s5,0.002020000000000001,0.0026800000000000014,zone2
70,FixBase,20f4s,1,s6,0.001998571428571429,0.0019700000000000004,zone2
71,FixBase,20f4s,2,s6,0.0017542857142857156,0.0019328571428571437,zone2
72,FixBase,20f4s,3,s6,0.0013042857142857153,0.0011057142857142858,zone2
73,FixBase,20f4s,4,s6,0.001462857142857144,0.001384285714285715,zone2
