,Sim_Type,Nsubs,Iteration,Station,Zone,s1,s5,s10,s15,s20
54,FixBase,20f4s,5,s2,zone1,3.362427348668128,1.9298194934719801,2.810131692115,1.593158384526633,4.621763289802682
55,FixBase,20f4s,1,s3,zone1,2.070400565147836,2.190531807007351,1.0461770149773144,1.6031228438648772,1.65115406999867
56,FixBase,20f4s,2,s3,zone1,1.8081674333385485,3.1680745431518367,1.5857204698846277,1.3911351296658958,1.7856086991101388
57,FixBase,20f4s,3,s3,zone1,1.4118309635966113,2.2074024075708074,1.8485635506423774,1.589125514474313,3.1783646830665897
58,FixBase,20f4s,4,s3,zone1,1.1508379748402815,1.0241065902729702,2.64115353958693,0.9099973136681466,1.8944149215096153
59,FixBase,20f4s,5,s3,zone1,4.504742314883038,3.3031232936286994,3.9862115560292968,1.1543847448685007,5.103509874880729
60,FixBase,20f4s,1,s4,zone2,1.0524987677041546,2.3980057450518926,1.786802948141107,1.4521272304332609,3.039662182651202
61,FixBase,20f4s,2,s4,zone2,1.1088935343111432,1.5916128386423765,1.8536248392243229,1.3820636095022898,2.3031335346962516
62,FixBase,20f4s,3,s4,zone2,2.1046131094503284,2.611137276126711,2.1336138425473616,1.1086662400969287,1.1797443256784317
63,FixBase,20f4s,4,s4,zone2,1.6979099614293836,2.5184537291148144,1.0127163371890155,1.0441908741878636,4.3859896210997436
64,FixBase,20f4s,5,s4,zone2,2.176220465355677,1.0628225954677584,1.8297724822921229,2.0013103419831286,2.1400840899680404
65,FixBase,20f4s,1,s5,zone2,0.7343420527926918,0.9907099948503856,1.7664640638271754,0.6737511593947925,1.3270588313512894
66,FixBase,20f4s,2,s5,zone2,0.7617282702398708,0.8911850447070199,2.5346866500458702,1.1978891091187236,2.4811314259629573
67,FixBase,20f4s,3,s5,zone2,0.7710147275790001,0.8342050249923191,0.8342762480571314,0.6042770707517587,1.7717569472009236
68,FixBase,20f4s,4,s5,zone2,0.7232389829178971,1.3936897423100758,0.7090918044676715,1.1709316005155013,1.6245820000340756
69,FixBase,20f4s,5,s5,zone2,1.4559225905645883,1.2154157865565953,2.2377963502653624,1.257040546263366,2.459034283170285
70,FixBase,20f4s,1,s6,zone2,1.0557496574072835,1.1336954315572154,1.177213646929654,1.2472896487689358,1.0988049247267149
71,FixBase,20f4s,2,s6,zone2,1.1447375713377257,1.1359717125017323,2.222250565807527,0.7358303555507913,2.196628785047318
72,FixBase,20f4s,3,s6,zone2,0.7002252329253108,0.7229614831352298,1.441479961769323,0.45467829853796926,1.9222111500484722
73,FixBase,20f4s,4,s6,zone2,0.7945749303322182,1.3717023755483577,2.2957461324799784,1.199513500580128,2.704966318134935
74,FixBase,20f4s,5,s6,zone2,1.3057293251270325,1.3542380545332395,1.9509752780468061,0.42090071845496363,1.1083036509863817
75,FixBase,20f4s,1,s7,zone3,0.8036594049288543,0.8346968246039755,0.7674572806813997,0.5790679324015672,1.3522386506615025
76,FixBase,20f4s,2,s7,zone3,1.068072738665191,0.8751759322801502,0.9447445191335365,0.5631312196139077,0.8137633202586032
77,FixBase,20f4s,3,s7,zone3,0.4110877611406639,0.5878990981785746,0.6415290386104185,0.5293181604645185,0.4319944539407384
78,FixBase,20f4s,4,s7,zone3,0.3341172426380847,0.34501152371751764,0.8685065230799163,0.7844454907208118,1.4249360117104417
79,FixBase,20f4s,5,s7,zone3,0.9451332307737239,1.4710188749111817,1.1600604748013676,2.108743837963141,2.9104065198832516
80,FixBase,20f4s,1,s8,zone3,0.942447603612563,0.7095049858393665,1.6757044466637383,0.6148380336905437,0.9665811641601593
81,FixBase,20f4s,2,s8,zone3,0.8047819334790528,0.6745224281437553,1.5005093938840761,1.000365826515665,1.8011158480748901
