,Sim_Type,Nsubs,Iteration,Station,s1,s5,s10,s15,s20
104,AbsBound,20f2s,5,s3,0.0007009740398857136,0.0013344156319908505,0.0019129871113690777,0.002232142980313246,0.0022915585830739385
105,AbsBound,20f2s,1,s4,0.0005639610411046793,0.0008775974179838564,0.0012918831504846095,0.001682792239756755,0.0017470779565390837
106,AbsBound,20f2s,2,s4,0.0007490259851926025,0.0012727273088877756,0.001596428634145374,0.0021798702367449444,0.0022441559574602945
107,AbsBound,20f2s,3,s4,0.0004425324688507753,0.0006733766274444081,0.0009470779321498588,0.0013756493719780131,0.0014042208014485211
108,AbsBound,20f2s,4,s4,0.0007129870263319035,0.0013246753791727136,0.0020272728378511046,0.002558117074234212,0.0025081170667921177
109,AbsBound,20f2s,5,s4,0.0007707792287403157,0.0012373376863840178,0.001334740295622313,0.0023730520370447974,0.0025230520486900325
110,AbsBound,20f2s,1,s5,0.00031655844178451705,0.0005519480546718373,0.0006019480551937459,0.0010233766328147636,0.0010353896176507021
111,AbsBound,20f2s,2,s5,0.0004922077954220932,0.0008279220871181398,0.0009159091040266091,0.0012993506721316545,0.0013470779425263477
112,AbsBound,20f2s,3,s5,0.0003399350662066299,0.0005636363678659824,0.0008801948173000336,0.001054220791716205,0.0010685065063422109
113,AbsBound,20f2s,4,s5,0.0003045454549615671,0.0004068181829276646,0.0004519480537692567,0.000792532471779378,0.0008425324723340625
114,AbsBound,20f2s,5,s5,0.00044967532603430195,0.0006756493557513754,0.0008279220871181398,0.0012185065102232175,0.0012970779410286881
115,AbsBound,20f2s,1,s6,0.00036623376742460443,0.0006399350695061549,0.0008350649444209462,0.001154220794210468,0.0012448052087902979
116,AbsBound,20f2s,2,s6,0.0003613636378026665,0.0005542207826396717,0.0007970779291969483,0.0009970779332487804,0.0010399350770901989
117,AbsBound,20f2s,3,s6,0.00027370129887053086,0.00036168831227634165,0.0005233766258232358,0.0007782467573399776,0.0008211039006637715
