,Sim_Type,Nsubs,Station,s1,s5,s10,s15,s20
29,DRM,20f4s,s3,0.0015429221833078801,0.0021402600217111803,0.00294668909053074,0.00365240371357098,0.00392766345560138
30,DRM,20f4s,s4,0.00173129858125322,0.0022780522383940597,0.00318149431428904,0.00424720922931248,0.00448746842713694
31,DRM,20f4s,s5,0.00099980521649004,0.0013451299004723,0.0018375974895522202,0.00239870158740508,0.00255318219189948
32,DRM,20f4s,s6,0.00095993506906188,0.00117870131031318,0.0016505195122101801,0.0021107143160952,0.0023504545675012796
33,DRM,20f4s,s7,0.0008174026071542401,0.0011414285838762,0.0016515585158173398,0.0020690260782305,0.00219915595255576
34,DRM,20f4s,s8,0.00089727272342664,0.00124551946918892,0.001972077899968,0.0023418831683547,0.00239870127144696
35,DRM,20f4s,s9,0.0007849350621812201,0.0009455844177316999,0.00139448055320098,0.00171740261168922,0.00195006493150638
36,FixBase,20f2s,s1,0.00356857142857138,0.006514285714285681,0.00927999999999996,0.011784285714285681,0.01195142857142852
37,FixBase,20f2s,s2,0.00124714285714282,0.00217428571428568,0.00284571428571422,0.00389142857142854,0.00405428571428568
38,FixBase,20f2s,s3,0.00108142857142854,0.00185714285714282,0.0027914285714285203,0.00380285714285708,0.00396428571428568
39,FixBase,20f2s,s4,0.0012842857142856801,0.0021914285714285,0.00303857142857136,0.0042357142857142194,0.00446571428571424
40,FixBase,20f2s,s5,0.00079142857142852,0.00126142857142852,0.00158714285714282,0.00235142857142854,0.0024814285714285
41,FixBase,20f2s,s6,0.0006871428571428001,0.0010342857142856799,0.0014285714285713802,0.00205285714285712,0.0022371428571428204
42,FixBase,20f2s,s7,0.00060571428571426,0.00104285714285708,0.00157285714285712,0.0020214285714285,0.0021028571428571
43,FixBase,20f2s,s8,0.0006557142857142401,0.00108142857142854,0.0017985714285713799,0.00227428571428566,0.0023628571428570997
44,FixBase,20f2s,s9,0.00053999999999996,0.00088428571428568,0.00126857142857138,0.0016842857142856601,0.00177571428571426
45,FixBase,20f4s,s1,0.0047599999999999604,0.00684999999999996,0.00969857142857138,0.012089999999999958,0.01234428571428568
46,FixBase,20f4s,s2,0.00169428571428566,0.00228142857142852,0.00293999999999996,0.0038871428571428,0.00402571428571426
47,FixBase,20f4s,s3,0.00152571428571424,0.00210999999999996,0.00293571428571422,0.00360857142857138,0.00382857142857138
48,FixBase,20f4s,s4,0.0016885714285714,0.00225999999999996,0.0031228571428571,0.00418999999999994,0.00434714285714282
49,FixBase,20f4s,s5,0.00102571428571424,0.00135857142857138,0.0018357142857142398,0.00240571428571426,0.00253428571428566
50,FixBase,20f4s,s6,0.0009457142857142401,0.0011885714285714,0.0015757142857142597,0.00207714285714282,0.0022571428571428
51,FixBase,20f4s,s7,0.00083428571428568,0.00115428571428568,0.00166857142857136,0.00208571428571422,0.0021514285714285
52,FixBase,20f4s,s8,0.00095142857142852,0.0012928571428571,0.00194142857142852,0.00238571428571424,0.00244428571428566
53,FixBase,20f4s,s9,0.00079428571428566,0.00090571428571424,0.0012885714285714,0.00174857142857138,0.00186142857142854
