,Sim_Type,Nsubs,Iteration,Station,MaxShearY
250,DRM,20f4s,1,s6,29861.2046566875
251,DRM,20f4s,2,s6,23920.355370875885
252,DRM,20f4s,3,s6,25132.575222924104
253,DRM,20f4s,4,s6,24097.561110629464
254,DRM,20f4s,5,s6,39630.85084098749
255,DRM,20f4s,1,s7,30835.28364049553
256,DRM,20f4s,2,s7,21410.902040008932
257,DRM,20f4s,3,s7,13679.899096853573
258,DRM,20f4s,4,s7,17861.948930319642
259,DRM,20f4s,5,s7,26500.777538030354
260,DRM,20f4s,1,s8,28014.857718975
261,DRM,20f4s,2,s8,27835.553259160708
262,DRM,20f4s,3,s8,22405.954996655357
263,DRM,20f4s,4,s8,25998.918521276784
264,DRM,20f4s,5,s8,30651.559278594643
265,DRM,20f4s,1,s9,27068.519291252687
266,DRM,20f4s,2,s9,26812.235216849997
267,DRM,20f4s,3,s9,22684.279266077683
268,DRM,20f4s,4,s9,20488.371121497323
269,DRM,20f4s,5,s9,35986.95487430089
